Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2025-10-21 16:00,Exit_SFP,111767.4,0.27702,29972.70524,-1023.03,-3.41,198.57,0.66,-1006,-3.35,-1023.03,-10.23
1,Entry short,2025-10-19 15:00,SFP_Short,108196.9,0.27702,29972.70524,-1023.03,-3.41,198.57,0.66,-1006,-3.35,-1023.03,-10.23
2,Exit short,2026-01-30 02:00,Exit_SFP,82704.2,0.29761,26941.68095,2296.11,8.53,2309.63,8.58,-39.86,-0.15,1273.08,12.73
2,Entry short,2026-01-23 19:00,SFP_Short,90526.8,0.29761,26941.68095,2296.11,8.53,2309.63,8.58,-39.86,-0.15,1273.08,12.73
3,Exit short,2026-03-30 00:00,Exit_SFP,64999.2,0.473207,33809.74106,3013.73,8.92,3030.63,8.97,-295.3,-0.87,4286.81,42.87
3,Entry short,2026-03-23 15:00,SFP_Short,71448.1,0.473207,33809.74106,3013.73,8.92,3030.63,8.97,-295.3,-0.87,4286.81,42.87
4,Exit short,2026-06-01 17:00,Exit_SFP,71073.9,0.551459,42872.84908,3628.34,8.47,3649.87,8.52,-274.61,-0.64,7915.15,79.15
4,Entry short,2026-05-20 22:00,SFP_Short,77744.4,0.551459,42872.84908,3628.34,8.47,3649.87,8.52,-274.61,-0.64,7915.15,79.15
